NAME,DIVINE VALUE,CHAOS VALUE,EXPLICIT MODIFIERS
The Blood Reaper,0.09,15,"(180-200)% increased Physical Damage (), +100 to maximum Life (), Regenerate 20 Life per second (), 1% of Physical Attack Damage Leeched as Life (), 50% increased Mana Cost of Skills (), 50% chance to cause Bleeding on Hit ()"
Kitava's Feast,0.09,15,"Socketed Gems are supported by Level 30 Melee Splash (), (200-240)% increased Physical Damage (), 1% of Physical Attack Damage Leeched as Life (), 1% of Physical Attack Damage Leeched as Mana (), Recover 5% of Life on Kill (), Enemies Killed by your Hits are destroyed ()"
Hrimnor's Hymn,0.09,15,"+10 to Strength (), (140-200)% increased Physical Damage (), 15% reduced Enemy Stun Threshold (), 1% of Physical Attack Damage Leeched as Life (), (40-50)% increased Stun Duration on Enemies ()"
The Rippling Thoughts,0.09,15,"Grants Summon Harbinger of the Arcane Skill (), Trigger Level 20 Storm Cascade when you Attack (), (75-90)% increased Spell Damage (), (140-160)% increased Physical Damage (), Adds 1 to (60-70) Lightning Damage (), Adds 1 to (60-70) Lightning Damage to Spells (), 10% increased Area of Effect ()"
Replica Nebulis,0.09,15,"(15-20)% increased Cast Speed (), (15-20)% increased Cold Damage per 1% Missing Cold Resistance, up to a maximum of 300% (), (15-20)% increased Fire Damage per 1% Missing Fire Resistance, up to a maximum of 300% ()"
The Burden of Shadows,0.09,15,"Socketed Gems are Supported by Level 1 Lifetap (), (20-30)% increased Cast Speed (), Lose 500 Life per second (), Spells deal added Chaos Damage equal to (15-20)% of your maximum Life ()"
Femurs of the Saints,0.09,14.8,"+2 to Level of Socketed Minion Gems (), Minions deal (60-80)% increased Damage (), +1% Chance to Block Attack Damage per Summoned Skeleton (), 2% increased Attack and Cast Speed per Summoned Raging Spirit (), Regenerate 0.6% of Life per second for each Raised Zombie (), 30% increased Mana Regeneration Rate per Raised Spectre ()"
Wideswing,0.09,14.6,"Socketed Gems are Supported by Level 20 Increased Area of Effect (), +10 to Strength (), (120-160)% increased Physical Damage (), Gain 10 Mana per Enemy Killed (), +(120-150) to Accuracy Rating (), +0.2 metres to Weapon Range ()"
Hiltless,0.09,14.1,"Socketed Gems are Supported by Level 1 Lifetap (), Adds (92-115) to (230-260) Physical Damage (), (40-50)% increased Critical Strike Chance (), Enemies you Attack Reflect 100 Physical Damage to you (), +0.2 metres to Weapon Range ()"
The Annihilating Light,0.09,14,"(60-70)% reduced Elemental Resistances (), Deal Triple Damage with Elemental Skills ()"
Kaom's Primacy,0.08,12.9,"(100-140)% increased Physical Damage (), Gain 20 Life per Enemy Killed (), +(151-250) to Accuracy Rating (), Culling Strike (), Gain 5 Rage on Melee Hit (), Every Rage also grants 1% of Physical Damage as Extra Fire Damage ()"
Pillar of the Caged God,0.08,12.9,"1% increased Area of Effect per 20 Intelligence (), 1% increased Attack Speed per 10 Dexterity (), 16% increased Physical Weapon Damage per 10 Strength ()"
Disintegrator,0.08,12.3,"Adds (220-240) to (270-300) Physical Damage (), +1 to Maximum Siphoning Charges per Elder or Shaper Item Equipped (), 25% chance to gain a Siphoning Charge when you use a Skill (), Adds (12-14) to (15-16) Physical Damage to Attacks and Spells per Siphoning Charge (), Gain 4% of Non-Chaos Damage as extra Chaos Damage per Siphoning Charge (), 1% additional Physical Damage Reduction from Hits per Siphoning Charge (), 0.2% of Damage Leeched as Life per Siphoning Charge (), Take 150 Physical Damage per Second per Siphoning Charge if you've used a Skill Recently (), Battlemage ()"
Agnerod East,0.07,11,"40% increased Strength Requirement (), +(81-120) to Intelligence (), (30-50)% increased Lightning Damage (), +2 to Level of all Lightning Spell Skill Gems (), Damage Penetrates 20% Lightning Resistance (), 100% increased Duration of Lightning Ailments ()"
Infractem,0.07,11,"+(20-30) to Dexterity (), (70-80)% increased Physical Damage (), Adds (25-35) to (36-45) Physical Damage (), 10% increased Movement Speed (), +(351-399) to Accuracy Rating (), Cannot Leech Life (), Arrows Pierce all Targets ()"
Slivertongue,0.07,11,"Adds (80-95) to (221-240) Physical Damage (), (150-200)% increased Critical Strike Chance with arrows that Fork (), Arrows Pierce all Targets after Forking (), Arrows that Pierce have +50% to Critical Strike Multiplier ()"
Jorrhast's Blacksteel,0.07,10.8,"25% chance to Trigger Level 20 Animate Weapon on Kill (), (156-200)% increased Physical Damage (), (8-12)% increased Attack Speed (), (8-12)% increased Cast Speed (), 30% less Animate Weapon Duration (), Weapons you Animate create an additional copy ()"
Realmshaper,0.06,10.3,"+1 to Level of Socketed Fire Gems (), +1 to Level of Socketed Cold Gems (), Socketed Gems are Supported by Level 5 Cold to Fire (), Adds (10-15) to (20-25) Fire Damage (), Adds (10-15) to (20-25) Cold Damage (), (30-50)% increased Elemental Damage ()"
Agnerod South,0.06,10,"40% increased Strength Requirement (), +(81-120) to Intelligence (), (30-50)% increased Lightning Damage (), +2 to Level of all Lightning Spell Skill Gems (), +5% to maximum Lightning Resistance (), Damage Penetrates 20% Lightning Resistance ()"
Geofri's Baptism,0.06,10,"200% increased Physical Damage (), Adds 11 to 23 Cold Damage (), (10-20)% increased Stun Duration on Enemies (), Never deal Critical Strikes ()"
Quecholli,0.06,10,"+(25-49) to all Attributes (), (80-100)% increased Physical Damage (), Adds 5 to 25 Physical Damage (), Gain 10 Life per Enemy Killed (), Enemies Killed with Attack or Spell Hits Explode, dealing 10% of their Life as Fire Damage ()"
The Supreme Truth,0.06,10,"+1 to Level of Socketed Gems (), 60% increased Intelligence Requirement (), (80-100)% increased Physical Damage (), (10-20)% increased Attack Speed (), 3% increased Experience gain (), 20% increased Elemental Damage ()"
Arakaali's Fang,0.06,10,"100% chance to Trigger Level 1 Raise Spiders on Kill (), (170-200)% increased Physical Damage (), Adds (8-13) to (20-30) Physical Damage (), Adds 1 to 59 Chaos Damage (), 15% chance to Poison on Hit ()"
Xoph's Nurture,0.06,10,"Socketed Gems are Supported by Level 20 Ignite Proliferation (), (165-195)% increased Physical Damage (), 50% of Physical Damage Converted to Fire Damage (), 10% chance to Ignite (), Recover (40-60) Life when you Ignite an Enemy ()"
Dying Breath,0.06,10,"18% increased Cast Speed (), 18% increased maximum Mana (), 18% increased Area of Effect of Aura Skills (), 18% increased Area of Effect of Hex Skills (), Nearby Enemies have 18% increased Effect of Curses on them (), Nearby allies gain 18% increased Damage (), 18% increased effect of Non-Curse Auras from your Skills ()"
Tidebreaker,0.06,10,"Socketed Gems are Supported by Level 20 Endurance Charge on Melee Stun (), +40 to Intelligence (), Adds (70-80) to (340-375) Physical Damage (), 10% increased Physical Damage per Endurance Charge (), (20-30)% reduced Enemy Stun Threshold with this Weapon ()"
Replica Harvest,0.06,10,"137% increased Physical Damage (), 1.2% of Damage Leeched as Life on Critical Strike (), 3% increased Global Critical Strike Chance per Level (), Gain Elusive on Critical Strike ()"
Replica Windripper,0.06,10,"Adds (48-60) to (72-90) Cold Damage (), Adds 1 to (120-150) Lightning Damage (), (10-15)% increased Attack Speed (), (30-40)% increased Critical Strike Chance (), Enemies Frozen by you take 20% increased Damage (), +(90-120) Energy Shield gained on Killing a Shocked Enemy ()"
The Hidden Blade,0.06,10,"Trigger Level 20 Unseen Strike every 0.5 seconds while Phasing (), +(20-40) to Dexterity (), (230-260)% increased Physical Damage (), 30% reduced Attack Speed while Phasing ()"
Cane of Kulemak,0.06,10,"(60-90)% increased Unveiled Modifier magnitudes (), +3 to Level of Socketed Support Gems (), +(8-15)% to Quality of Socketed Support Gems (), +(40-52) to Dexterity and Intelligence (), +(40-53) to Strength and Intelligence (), 15% chance to Trigger Level 1 Blood Rage when you Kill an Enemy (), +(70-91)% to Chaos Damage over Time Multiplier (), +(40-52) to Strength and Dexterity (), +(70-91)% to Physical Damage over Time Multiplier (), (161-204)% increased Fire Damage (), (145-207)% increased Spell Damage (), (193-264)% increased Physical Damage (), (145-186)% increased Chaos Damage (), Minions have (80-110)% increased maximum Life (), +(72-91)% to Cold Damage over Time Multiplier (), (164-206)% increased Cold Damage (), +(70-90)% to Fire Damage over Time Multiplier (), (160-207)% increased Lightning Damage (), Minions have (54-72)% increased Attack Speed (), (11-15)% increased Damage per Power Charge (), (19-26)% chance to deal Double Damage (), (43-57)% increased Attack Speed while a Rare or Unique Enemy is Nearby (), Attacks with this Weapon Penetrate (22-30)% Chaos Resistance (), (41-58)% increased Cast Speed (), Chaos Skills have (41-57)% increased Skill Effect Duration (), (28-41)% increased Attack Speed (), (57-76)% chance to deal Double Damage while Focused (), +(88-114)% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby (), Minions deal (80-107)% increased Damage (), (57-75)% chance to Freeze (), (44-60)% increased Critical Strike Chance (), Attacks with this Weapon Penetrate (22-30)% Elemental Resistances (), (56-76)% chance to Shock (), (11-15)% increased Damage per Endurance Charge (), (11-15)% increased Damage per Frenzy Charge (), Minions have (55-71)% increased Cast Speed (), (57-75)% increased Mana Regeneration Rate (), (56-76)% chance to Ignite (), (33-47)% chance to Poison on Hit (), (24-28)% chance to gain Arcane Surge when you Kill an Enemy (), (33-47)% chance to Impale Enemies on Hit with Attacks (), Gain (14-18)% of Non-Chaos Damage as extra Chaos Damage (), (33-46)% chance to cause Bleeding on Hit (), (33-47)% chance to Blind Enemies on hit (), +(510-663) to Accuracy Rating ()"
The Gluttonous Tide,0.06,10,"(121-160)% increased Physical Damage (), (16-20)% increased Attack Speed (), Lose all Frenzy Charges on reaching Maximum Frenzy Charges to make the next Bow Attack you perform fire that many additional Arrows (), +(32-50)% Global Critical Strike Multiplier while you have a Frenzy Charge (), (20-40)% chance to gain a Frenzy Charge for each Enemy you hit with a Critical Strike ()"
Agnerod North,0.06,9.3,"40% increased Strength Requirement (), +(80-120) to Intelligence (), (30-50)% increased Lightning Damage (), +2 to Level of all Lightning Spell Skill Gems (), 15% chance to Shock (), Damage Penetrates 20% Lightning Resistance ()"
Soulwrest,0.06,9.1,"Trigger Level 20 Summon Phantasm Skill when you Consume a corpse (), (100-139)% increased Spell Damage (), (25-30)% increased Cast Speed (), (80-100)% increased Mana Regeneration Rate (), Minions deal (45-51) to (66-78) additional Physical Damage (), If you Consumed a corpse Recently, you and nearby Allies Regenerate 5% of Life per second ()"
Mjölner,0.06,9,"Trigger a Socketed Lightning Spell on Hit, with a 0.25 second Cooldown
Socketed Lightning Spells have no Cost if Triggered (), +300 Intelligence Requirement (), +200 Strength Requirement (), (80-120)% increased Physical Damage (), (80-100)% increased Lightning Damage (), Skills Chain +1 times ()"
The Enmity Divine,0.06,9,"Socketed Gems are supported by Level 1 Chance to Bleed (), Grants Summon Harbinger of Brutality Skill (), +5% Chance to Block Attack Damage while wielding a Staff (), +(30-40)% to Damage over Time Multiplier for Bleeding from Critical Strikes (), Adds (160-185) to (200-225) Physical Damage (), (30-40)% increased Critical Strike Chance ()"
Replica Dreamfeather,0.06,9,"Adds (40-65) to (70-100) Physical Damage (), (5-10)% increased Attack Speed (), +(180-200) to Armour (), 3% reduced Movement Speed (), +(280-300) to Accuracy Rating (), 1% increased Attack Damage per 450 Armour ()"
The Iron Mass,0.06,9,"(175-200)% increased Physical Damage (), (14-18)% increased Attack Speed (), Unholy Might (), Summoned Skeleton Warriors and Soldiers wield this Weapon while in your Main Hand (), Summoned Skeleton Warriors and Soldiers deal Triple Damage with this
Weapon if you've Hit with this Weapon Recently ()"
Chober Chaber,0.05,8.6,"+1 to Level of Socketed Melee Gems (), +1 to Level of Socketed Minion Gems (), 20% reduced Strength Requirement (), (200-220)% increased Physical Damage (), 25% increased maximum Mana (), Minions have (20-40)% increased maximum Life (), 15% increased Skill Effect Duration ()"
Kongor's Undying Rage,0.05,8.5,"Adds (43-56) to (331-400) Physical Damage (), (30-40)% increased Critical Strike Chance (), +(15-20)% to all Elemental Resistances (), Hits can't be Evaded (), Your Critical Strikes do not deal extra Damage (), You gain Onslaught for 4 seconds on Critical Strike ()"
The Harvest,0.05,8.2,"(120-140)% increased Physical Damage (), 1.2% of Damage Leeched as Life on Critical Strike (), 3% increased Global Critical Strike Chance per Level (), Gain a Flask Charge when you deal a Critical Strike ()"
Voidhome,0.05,8,"150% increased Physical Damage (), 50% increased Attack Speed (), (30-49)% reduced Rarity of Items found (), (30-50)% reduced Experience gain (), 0.4% of Physical Attack Damage Leeched as Mana ()"
Replica Frostbreath,0.05,8,"Adds (53-67) to (71-89) Chaos Damage (), (8-14)% increased Attack Speed (), +(23-31)% to Chaos Resistance (), Your Chaos Damage can Chill (), Attacks with this Weapon deal Double Damage to Chilled Enemies ()"
The Living Blade,0.05,8,"(100-140)% increased Physical Damage (), (25-35)% increased Attack Speed (), Cannot be Poisoned (), You can have an additional Tincture active (), 10% chance to remove 1 Mana Burn on Kill ()"
Replica Trypanon,0.05,7.9,"-5000 to Accuracy Rating (), This Weapon's Critical Strike Chance is 100% ()"
Shiversting,0.05,7.7,"(80-100)% increased Physical Damage (), Adds 35 to 70 Cold Damage (), 0.6% of Physical Attack Damage Leeched as Mana (), Cannot be Frozen ()"
Martyr of Innocence,0.04,7,"Grants Level 15 Battlemage's Cry Skill (), +(12-16)% Chance to Block Attack Damage while wielding a Staff (), 100% increased Fire Damage (), Adds (315-360) to (450-540) Fire Damage (), Damage Penetrates 15% of Fire Resistance if you have Blocked Recently (), Immune to Freeze and Chill while Ignited (), Battlemage ()"
Arborix,0.04,7,"Grants Level 30 Dash Skill (), Adds (80-100) to (200-225) Physical Damage (), Bow Attacks fire 2 additional Arrows if you haven't Cast Dash recently (), (20-30)% increased Attack Speed if you haven't Cast Dash recently (), (100-159)% increased Evasion Rating if you've Cast Dash recently (), (20-30)% increased Movement Speed if you've Cast Dash recently (), Travel Skills other than Dash are Disabled (), Iron Reflexes ()"
Debeon's Dirge,0.04,6,"Adds (310-350) to (461-500) Cold Damage (), 15% increased Movement Speed if you've Warcried Recently (), 150% increased Elemental Damage if you've Warcried Recently (), Warcries Knock Back and Interrupt Enemies in a smaller Area ()"
Replica Bitterdream,0.04,6,"Socketed Gems are Supported by Level 15 Elemental Penetration (), Socketed Gems are Supported by Level 15 Immolate (), Socketed Gems are Supported by Level 15 Unbound Ailments (), Socketed Gems are Supported by Level 15 Ice Bite (), Socketed Gems are Supported by Level 15 Inspiration (), Socketed Gems are Supported by Level 15 Innervate ()"
Chin Sol,0.03,5,"+(10-20) to Dexterity (), (100-140)% increased Physical Damage (), Adds 25 to 50 Fire Damage (), (10-14)% increased Attack Speed (), 50% more Damage with Arrow Hits at Close Range (), Bow Knockback at Close Range ()"
Cospri's Malice,0.03,5,"Trigger a Socketed Cold Spell on Melee Critical Strike, with a 0.25 second Cooldown (), +257 Intelligence Requirement (), No Physical Damage (), Adds (80-100) to (160-200) Cold Damage (), Adds (40-60) to (90-110) Cold Damage to Spells (), (8-14)% increased Attack Speed (), 60% increased Critical Strike Chance against Chilled Enemies ()"
"Jack, the Axe",0.03,5,"Grants Level 20 Thirst for Blood Skill (), (130-150)% increased Physical Damage (), Adds (11-14) to (18-23) Physical Damage (), 25% chance to cause Bleeding on Hit (), +(25-35)% to Damage over Time Multiplier for Bleeding from Hits with this Weapon ()"
Nuro's Harp,0.03,5,"No Physical Damage (), Adds (120-140) to (180-210) Cold Damage (), (10-15)% increased Attack Speed (), (10-30)% increased Light Radius (), 15% chance to create Chilled Ground when you Freeze an Enemy (), Create Consecrated Ground when you Shatter an Enemy (), 40% increased Effect of Chilled Ground ()"
Shade of Solaris,0.03,5,"Gain (10-20)% of Elemental Damage as Extra Chaos Damage (), Critical Strikes deal no Damage (), 200% increased Spell Damage if you've dealt a Critical Strike in the past 8 seconds ()"
Dying Breath,0.03,5,"18% increased Cast Speed (), 18% increased maximum Mana (), 18% increased Area of Effect of Aura Skills (), 18% increased Area of Effect of Hex Skills (), Nearby Enemies have 18% increased Effect of Curses on them (), Nearby allies gain 18% increased Damage (), 18% increased effect of Non-Curse Auras from your Skills ()"
The Poet's Pen,0.03,5,"+1 to Level of Socketed Skill Gems per 25 Player Levels (), Trigger a Socketed Spell when you Attack with this Weapon, with a 0.25 second Cooldown (), Adds 3 to 5 Physical Damage to Attacks with this Weapon per 3 Player Levels (), (8-12)% increased Attack Speed ()"
The Crimson Storm,0.03,5,"15% chance to Trigger Level 1 Blood Rage when you Kill an Enemy (), +(25-28) to Dexterity and Intelligence (), +(25-28) to Strength and Dexterity (), 27% increased Cast Speed (), +(27-28)% to Fire Damage over Time Multiplier (), (60-80)% increased Physical Damage (), +(24-28)% to Chaos Damage over Time Multiplier (), +(24-28)% to Physical Damage over Time Multiplier (), (12-15)% increased Attack Speed (), (25-35)% increased Critical Strike Chance (), +(312-350) to Accuracy Rating (), 50% chance to inflict Bleeding on Critical Strike with Attacks (), Enemies you inflict Bleeding on grant (60-100)% increased Flask Charges (), (7-8)% increased Damage per Endurance Charge (), (12-14)% chance to deal Double Damage (), +(54-60)% Critical Strike Multiplier while a Rare or Unique Enemy is Nearby (), (7-8)% increased Damage per Frenzy Charge (), (27-30)% increased Attack Speed while a Rare or Unique Enemy is Nearby (), (36-40)% chance to deal Double Damage while Focused (), Minions have (34-38)% increased Attack Speed (), (7-8)% increased Damage per Power Charge (), 15% chance to gain Arcane Surge when you Kill an Enemy (), Adds (100-120) to (150-165) Physical Damage against Bleeding Enemies (), Minions have (34-38)% increased Cast Speed (), 50% chance to Maim Enemies on Critical Strike with Attacks ()"
Replica Iron Commander,0.03,5,"Adds (8-12) to (16-24) Physical Damage (), (14-20)% increased Attack Speed (), (14-20)% increased Totem Life (), (14-20)% increased Totem Placement speed (), Shrapnel Ballista has +1 to maximum number of Summoned Totems per 200 Strength (), Adds 1 to 3 Physical Damage to Attacks per 25 Strength ()"
Replica Last Resort,0.03,5,"25% increased Attack Speed when on Low Life (), (80-100)% increased Physical Damage (), 100% increased Accuracy Rating when on Low Life (), 200% increased Damage with Claws while on Low Life (), Deal no Damage when not on Low Life ()"
Replica Wings of Entropy,0.03,5,"(7-10)% Chance to Block Spell Damage (), +(8-12)% Chance to Block Attack Damage while Dual Wielding (), (60-80)% increased Physical Damage (), Counts as Dual Wielding (), +(8-10)% to Off Hand Critical Strike Chance (), (50-70)% more Main Hand attack speed ()"
Replica Midnight Bargain,0.03,5,"Cannot be used with Chaos Inoculation (), +(10-20) to Intelligence (), Minions have (40-50)% increased Movement Speed (), Minions deal (50-70)% increased Damage (), +6 to maximum number of Raging Spirits (), Reserves 30% of Life (), +3 to maximum number of Summoned Phantasms ()"
Actum,0.03,5,"Has no Sockets (), (200-250)% increased Physical Damage (), You have no Intelligence (), Critical Strike Chance is (20-30)% for Hits with this Weapon ()"
Yaomac's Accord,0.03,5,"(80-120)% increased Damage with Vaal Skills (), (6-8)% reduced Soul Gain Prevention Duration (), Gain an Endurance Charge, Frenzy Charge, and Power Charge when you use a Vaal Skill (), Shepherd of Souls ()"
Replica Tulfall,0.03,5,"(15-25)% increased Cast Speed (), Lose all Power Charges on reaching Maximum Power Charges (), Gain a Frenzy Charge on reaching Maximum Power Charges (), (15-20)% increased Cold Damage per Frenzy Charge (), 50% chance to gain a Power Charge when you Hit a Frozen Enemy (), Take 500 Cold Damage on reaching Maximum Power Charges ()"
Maata's Teaching,0.03,5,"+(30-40) to Intelligence (), (15-30)% increased Critical Strike Chance (), +(1-2) to Level of all Minion Skill Gems (), Minions' Base Attack Critical Strike Chance is equal to the Critical
Strike Chance of your Main Hand Weapon ()"
Queen's Decree,0.03,4.9,"25% increased Strength Requirement (), Minions have (30-40)% increased maximum Life (), (150-200)% increased Skeleton Duration (), Minions deal (30-40)% increased Damage (), +1 to maximum number of Raised Zombies (), +1 to maximum number of Spectres (), +1 to maximum number of Skeletons ()"
Wings of Entropy,0.03,4.8,"(7-10)% Chance to Block Spell Damage (), +(8-12)% Chance to Block Attack Damage while Dual Wielding (), (60-80)% increased Physical Damage (), Adds (75-100) to (166-200) Fire Damage in Main Hand (), Adds (75-99) to (165-198) Chaos Damage in Off Hand (), Counts as Dual Wielding ()"
Hrimnor's Hymn,0.03,4.6,"+10 to Strength (), (141-200)% increased Physical Damage (), 15% reduced Enemy Stun Threshold (), 1% of Physical Attack Damage Leeched as Life (), (40-50)% increased Stun Duration on Enemies ()"
Darkscorn,0.02,4,"(60-80)% increased Physical Damage (), Adds (15-20) to (25-30) Physical Damage (), 20% increased Attack Speed (), (15-30)% increased Global Accuracy Rating (), 25% of Physical Damage Converted to Chaos Damage (), 25% of Physical Damage from Hits taken as Chaos Damage (), 20% chance for Poisons inflicted with this Weapon to deal 300% more Damage ()"
Doryani's Catalyst,0.02,4,"Socketed Gems are Supported by Level 20 Elemental Proliferation (), Adds (65-85) to (100-160) Physical Damage (), (11-15)% increased Attack Speed (), (6-10)% increased Cast Speed (), (30-40)% increased Global Critical Strike Chance (), 0.2% of Elemental Damage Leeched as Life (), (80-100)% increased Elemental Damage ()"
Infractem,0.02,4,"+(20-30) to Dexterity (), (70-80)% increased Physical Damage (), Adds (25-35) to (36-45) Physical Damage (), 10% increased Movement Speed (), +(350-400) to Accuracy Rating (), Cannot Leech Life (), Arrows Pierce all Targets ()"
Replica Cold Iron Point,0.02,4,"+3 to Level of all Cold Spell Skill Gems (), Deal no Cold Damage ()"
The Stormheart,0.02,3.7,"(81-100)% increased Physical Damage (), Adds (25-35) to (45-59) Cold Damage (), Adds (1-10) to (70-90) Lightning Damage (), (20-35)% increased Critical Strike Chance (), 100% chance to Avoid being Shocked while Chilled (), 50% chance to Shock Chilled Enemies ()"
Agnerod East,0.02,3,"40% increased Strength Requirement (), +(80-120) to Intelligence (), (30-50)% increased Lightning Damage (), +2 to Level of all Lightning Spell Skill Gems (), Damage Penetrates 20% Lightning Resistance (), 100% increased Duration of Lightning Ailments ()"
Bitterdream,0.02,3,"Socketed Gems are Supported by Level 15 Bonechill (), Socketed Gems are Supported by Level 15 Hypothermia (), Socketed Gems are Supported by Level 15 Ice Bite (), Socketed Gems are Supported by Level 15 Cold Penetration (), Socketed Gems are Supported by Level 15 Added Cold Damage (), Socketed Gems are Supported by Level 15 Inspiration ()"
Doomfletch,0.02,3,"Adds (12-16) to (20-24) Physical Damage (), (10-14)% increased Attack Speed (), 60% increased Mana Regeneration Rate (), Gain 100% of Weapon Physical Damage as Extra Damage of each Element ()"
Rebuke of the Vaal,0.02,3,"Adds (49-98) to (101-140) Physical Damage (), Adds (49-98) to (101-140) Fire Damage (), Adds (49-98) to (101-140) Cold Damage (), Adds 1 to (210-250) Lightning Damage (), Adds (49-98) to (101-140) Chaos Damage (), (10-20)% increased Attack Speed ()"
The Scourge,0.02,3,"Adds (35-50) to (100-125) Physical Damage (), (10-15)% increased Attack Speed (), Minions have (10-15)% increased Attack Speed (), Increases and Reductions to Minion Damage also affect you at 150% of their value (), Minions deal 70% increased Damage if you've Hit Recently ()"
Windripper,0.02,3,"Adds (48-60) to (72-90) Cold Damage (), Adds 1 to (120-150) Lightning Damage (), (10-15)% increased Attack Speed (), (30-40)% increased Critical Strike Chance (), 30% increased Rarity of Items Dropped by Slain Shocked Enemies (), 30% increased Rarity of Items Dropped by Frozen Enemies ()"
Severed in Sleep,0.02,3,"Grants Level 25 Envy Skill (), Minions have +29% to Chaos Resistance (), Minions have 60% chance to inflict Withered on Hit (), Minions have +5% to Critical Strike Multiplier per Withered Debuff on Enemy ()"
Nebuloch,0.02,3,"Adds (45-60) to (100-120) Physical Damage (), Gain (30-40)% of Physical Attack Damage as Extra Fire Damage (), +4% to Chaos Resistance per Endurance Charge (), 1% reduced Elemental Damage taken from Hits per Endurance Charge (), Adds 5 to 8 Physical Damage per Endurance Charge (), +500 to Armour per Endurance Charge (), 200 Fire Damage taken per second per Endurance Charge if you've been Hit Recently ()"
Shimmeron,0.02,3,"(30-40)% increased Spell Damage (), Adds (26-35) to (95-105) Lightning Damage to Spells (), +(6-10)% to Critical Strike Multiplier per Power Charge (), +0.3% Critical Strike Chance per Power Charge (), +2% Chance to Block Spell Damage per Power Charge (), Adds 3 to 9 Lightning Damage to Spells per Power Charge (), 200 Lightning Damage taken per second per Power Charge if
your Skills have dealt a Critical Strike Recently ()"
First Piece of the Arcane,0.02,3,
Law of the Wilds,0.02,3,"20% chance to Trigger Level 25 Summon Spectral Wolf on Critical Strike with this Weapon (), (15-20)% increased Attack Speed (), (22-28)% increased Critical Strike Chance (), +(15-25)% to Global Critical Strike Multiplier ()"
Replica Tempestuous Steel,0.02,3,"Adds (5-8) to (15-20) Physical Damage (), (8-14)% increased Attack Speed (), 100% reduced Global Accuracy Rating (), +(60-100)% to Critical Strike Multiplier with One Handed Melee Weapons (), Attacks with this Weapon Penetrate 30% Elemental Resistances (), Gain 15% of Physical Attack Damage as Extra Fire Damage (), Gain 15% of Physical Attack Damage as Extra Lightning Damage ()"
Replica Harvest,0.02,3,"(120-140)% increased Physical Damage (), 1.2% of Damage Leeched as Life on Critical Strike (), 3% increased Global Critical Strike Chance per Level (), Gain Elusive on Critical Strike ()"
Replica Quill Rain,0.02,3,"Socketed Gems are Supported by Level 1 Arrow Nova (), +(10-20) to Dexterity (), 100% increased Physical Damage (), (25-30)% increased Attack Speed (), Grants 2 Mana per Enemy Hit (), (50-100)% increased Projectile Speed (), +(25-50) to Accuracy Rating ()"
Replica Earendel's Embrace,0.02,3,"+(20-30) to all Attributes (), Minions deal (30-40)% increased Damage (), Raised Zombies Cover Enemies in Ash on Hit (), Raised Zombies take (15-30)% of their Maximum Life per second as Fire Damage (), Raised Zombies have Avatar of Fire ()"
Replica Fencoil,0.02,3,"Socketed Gems are Supported by Level 1 Multiple Totems (), (40-50)% increased Global Damage (), (10-20)% increased maximum Life (), (10-20)% increased maximum Mana ()"
Replica Innsbury Edge,0.02,3,"(100-140)% increased Physical Damage (), 0.2% of Chaos Damage Leeched as Life (), 50% of Physical Damage Converted to Chaos Damage (), Inflict Withered for 2 seconds on Hit with this Weapon ()"
Replica Blood Thorn,0.02,3,"+12% Chance to Block Attack Damage while wielding a Staff (), 100% increased Fire Damage (), (5-10)% increased Attack Speed (), Curse Enemies with Flammability on Block (), Reflects (22-44) Fire Damage to Attackers on Block ()"
Replica Ungil's Gauche,0.02,3,"+18% Chance to Block Attack Damage while Dual Wielding (), +(10-20) to Dexterity (), 10% increased Attack Speed (), 50% increased Global Critical Strike Chance (), Chill Attackers for 4 seconds on Block (), Shock Attackers for 4 seconds on Block ()"
Replica Oro's Sacrifice,0.02,3,"No Physical Damage (), Adds (385-440) to (490-545) Cold Damage (), (10-15)% increased Attack Speed (), 20% chance to Freeze (), 10% increased Physical Damage taken (), 10% increased Cold Damage taken (), Culling Strike against Frozen Enemies (), Gain an Endurance Charge if an Attack Freezes an Enemy ()"
Replica Allure,0.02,3,"(110-130)% increased Physical Damage (), Adds (15-20) to (30-40) Physical Damage (), (8-12)% increased Attack Speed (), Gain +50 Life when you Taunt an Enemy (), You gain Onslaught for 1 seconds on Killing Taunted Enemies (), Enemies Taunted by you take 10% increased Damage ()"
Atziri's Rule,0.02,3,"Grants Level 20 Queen's Demand Skill (), Queen's Demand can Trigger Level 20 Flames of Judgement (), Queen's Demand can Trigger Level 20 Storm of Judgement (), Cannot be Stunned (), Damage cannot be Reflected ()"
Story of the Vaal,0.02,3,"(180-210)% increased Physical Damage (), (10-15)% increased Attack Speed (), 50% of Physical Damage from Hits with this Weapon is Converted to a random Element (), Hits with this Weapon always Ignite, Freeze, and Shock (), Hits with this Weapon Freeze Enemies as though dealing (150-200)% more Damage (), Hits with this Weapon Shock Enemies as though dealing (150-200)% more Damage (), Ignites inflicted with this Weapon deal (50-75)% more Damage ()"
Widowhail,0.02,3,(150-250)% increased bonuses gained from Equipped Quiver ()
